ITEM_ID,ITEM_NAME,ITEM_DESCRIPTION,BRAND,MANUFACTURER,UOM,ITEM_TYPE,STATUS
ITEM_0183,Daughter Foot,Reach lose attack will well bar ever sit yourself look indicate market young feeling recently ahead.,Francis and Sons,Brewer Ltd,KG,SEMI_FINISHED,ACTIVE
ITEM_0184,Special Including,Society action right green center simply size.,Banks-Owens,"Jennings, Lowe and Mccormick",Box,RAW,ACTIVE
ITEM_0185,Few Much,Continue structure middle really thousand hope at size sort computer campaign sport year least daughter.,Hall LLC,Martinez-West,Litre,FINISHED,ACTIVE
ITEM_0186,Question Also,Everyone race probably long deep focus present college indeed seven population business again nation challenge.,Black-Taylor,Smith LLC,KG,FINISHED,ACTIVE
ITEM_0187,Sport Animal,Take hit there series piece prove ability article professor around return wish source matter.,Jackson-Herring,Stewart-Blackburn,KG,RAW,ACTIVE
ITEM_0188,For President,Appear despite body outside lead focus continue.,"Brown, Gilbert and Simon",Hamilton Ltd,Piece,SEMI_FINISHED,ACTIVE
ITEM_0189,Answer Want,Entire main watch cultural imagine program body.,Anderson-Dixon,Johnson-Murphy,Piece,PACKAGED,ACTIVE
ITEM_0190,Speak Lose,Return happen raise player detail region middle.,"Coleman, Morrow and Brown","Allen, Ho and Garrison",Litre,RAW,ACTIVE
ITEM_0191,Country My,Anything management hit offer bag assume occur suggest deal talk cause animal.,Villarreal-Phillips,Shepherd Group,Litre,FINISHED,ACTIVE
ITEM_0192,Ability Site,Hit tough safe conference development manage position industry.,"Robinson, Casey and Dixon",Garrison LLC,Piece,RAW,DISCONTINUED
ITEM_0193,Stay Movie,From suffer good by issue activity result world sea within large land film.,Todd PLC,Hansen PLC,KG,PACKAGED,ACTIVE
ITEM_0194,Matter Anything,Such full difficult town herself but so put arm debate success idea spring dream.,James Inc,Oconnor PLC,Piece,SEMI_FINISHED,ACTIVE
ITEM_0195,Within Describe,With couple remember college impact provide put none less source.,"Allen, Perry and Fowler","Young, Simon and Hudson",Litre,RAW,ACTIVE
ITEM_0196,Who Four,Through note which threat she respond much size here bad quickly such.,Torres Group,"Jones, Garcia and Santos",Litre,RAW,DISCONTINUED
ITEM_0197,By Should,Way still investment friend sometimes able course medical despite.,Smith LLC,"Hawkins, Sanchez and Moore",Litre,PACKAGED,ACTIVE
ITEM_0198,Especially Bank,Stop dog million mean western current as ahead add machine military various than sense.,Watson-Estrada,Hayes-Castillo,Piece,PACKAGED,DISCONTINUED
ITEM_0199,Structure Foreign,Fact player finish happy remember travel likely.,Sanchez-Patel,Mcpherson-Dean,Piece,RAW,DISCONTINUED
